Species	range
Bradypus_tridactylus	1
Bradypus_variegatus	2
Cabassous_centralis	1
Cabassous_chacoensis	1
Cabassous_tatouay	1
Cabassous_unicinctus	2
Chaetophractus_nationi	0
Chaetophractus_vellerosus	2
Chaetophractus_villosus	2
Chlamyphorus_truncatus	2
Choloepus_didactylus	2
Choloepus_hoffmanni	0
Cyclopes_didactylus	1
Dasypus_hybridus	1
Dasypus_kappleri	1
Dasypus_novemcinctus	2
Dasypus_pilosus	0
Dasypus_sabanicola	1
Dasypus_septemcinctus	1
Euphractus_sexcinctus	1
Myrmecophaga_tridactyla	2
Priodontes_maximus	2
Tamandua_mexicana	0
Tamandua_tetradactyla	2
Tolypeutes_matacus	1
Zaedyus_pichiy	1 
